,,,,,,,,Team,Team,Team,Team,Team,,Oppo,Oppo,Oppo,Oppo,Oppo
GP,Date,Opponent,GF,GA,,,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG
1,2021-01-14,Anaheim Ducks,5,2,W,,,29,2,0,1,0,,22,2,0,1,0
2,2021-01-16,Anaheim Ducks,2,1,W,OT,,33,4,0,1,0,,22,2,0,2,0
3,2021-01-18,Arizona Coyotes,4,2,W,,,28,10,0,5,1,,32,10,1,5,1
4,2021-01-20,Arizona Coyotes,5,2,W,,,29,8,1,7,0,,23,14,0,4,0
5,2021-01-22,Arizona Coyotes,2,5,L,,,31,12,1,4,0,,26,8,2,6,0
6,2021-01-24,Arizona Coyotes,1,0,W,,,27,4,0,2,0,,16,4,0,2,0
7,2021-01-26,St. Louis Blues,4,5,L,SO,,46,15,1,6,0,,25,17,1,5,0
8,2021-02-05,Los Angeles Kings,5,2,W,,,36,4,1,4,0,,29,8,1,2,0
9,2021-02-07,Los Angeles Kings,4,3,W,,,33,8,1,2,0,,32,4,0,4,0
10,2021-02-09,Anaheim Ducks,5,4,W,,,31,9,0,1,0,,23,7,1,2,0
11,2021-02-11,Anaheim Ducks,0,1,L,,,21,14,0,2,0,,28,4,0,2,0
12,2021-02-13,San Jose Sharks,3,1,W,,,26,10,3,5,0,,25,14,0,3,0
13,2021-02-14,Colorado Avalanche,1,0,W,,,24,2,0,3,0,,30,6,0,1,0
14,2021-02-16,Colorado Avalanche,2,3,L,,,29,11,1,2,0,,25,9,0,3,0
15,2021-02-20,Colorado Avalanche,2,3,L,,,29,12,0,4,0,,39,10,0,4,0
16,2021-02-22,Colorado Avalanche,3,0,W,,,28,4,1,3,0,,34,8,0,1,0
17,2021-02-27,Anaheim Ducks,3,2,W,OT,,27,4,0,3,0,,30,6,0,1,0
18,2021-03-01,Minnesota Wild,5,4,W,OT,,39,0,2,3,0,,30,6,0,0,0
19,2021-03-03,Minnesota Wild,5,1,W,,,28,8,0,2,0,,37,6,0,3,0
20,2021-03-05,San Jose Sharks,5,4,W,OT,,27,15,0,4,0,,29,13,1,5,0
21,2021-03-06,San Jose Sharks,4,0,W,,,32,2,0,2,0,,24,4,0,1,0
22,2021-03-08,Minnesota Wild,0,2,L,,,26,4,0,3,0,,21,6,0,2,0
23,2021-03-10,Minnesota Wild,3,4,L,,,27,6,0,2,0,,31,6,1,2,0
24,2021-03-12,St. Louis Blues,5,4,W,OT,,40,6,1,4,0,,23,8,2,3,0
25,2021-03-13,St. Louis Blues,5,1,W,,,26,13,0,2,0,,35,9,0,4,0
26,2021-03-15,San Jose Sharks,2,1,W,,,36,2,1,3,0,,24,6,0,1,0
27,2021-03-17,San Jose Sharks,5,4,W,,,37,16,2,5,0,,33,20,1,3,0
28,2021-03-19,Los Angeles Kings,4,2,W,,,33,2,0,2,0,,25,4,0,1,0
29,2021-03-21,Los Angeles Kings,1,3,L,,,42,9,0,4,0,,31,13,1,2,0
30,2021-03-22,St. Louis Blues,5,1,W,,,35,4,2,3,0,,16,6,0,2,0
31,2021-03-25,Colorado Avalanche,1,5,L,,,19,8,0,1,0,,32,2,1,4,0
32,2021-03-27,Colorado Avalanche,3,2,W,OT,,34,9,1,4,0,,24,13,0,2,0
33,2021-03-29,Los Angeles Kings,4,1,W,,,24,6,1,3,0,,25,6,0,3,0
34,2021-03-31,Los Angeles Kings,2,4,L,,,42,25,0,3,0,,30,8,0,5,0
35,2021-04-01,Minnesota Wild,2,3,L,SO,,37,8,0,4,0,,37,10,1,3,0
36,2021-04-03,Minnesota Wild,1,2,L,,,28,6,0,3,0,,27,6,1,3,0
37,2021-04-05,St. Louis Blues,6,1,W,,,33,6,0,2,0,,32,4,0,3,0
38,2021-04-07,St. Louis Blues,1,3,L,,,51,7,0,4,0,,35,13,0,1,0
39,2021-04-09,Arizona Coyotes,7,4,W,,,37,4,1,2,1,,26,4,1,2,0
40,2021-04-11,Arizona Coyotes,1,0,W,,,29,4,0,2,0,,14,6,0,1,0
41,2021-04-12,Los Angeles Kings,4,2,W,,,41,8,1,2,1,,28,4,0,4,0
42,2021-04-14,Los Angeles Kings,6,2,W,,,32,2,0,1,0,,22,2,1,1,0
43,2021-04-16,Anaheim Ducks,4,0,W,,,51,4,0,4,0,,16,8,0,2,0
44,2021-04-18,Anaheim Ducks,5,2,W,,,29,8,1,3,0,,35,6,0,4,0
45,2021-04-19,San Jose Sharks,3,2,W,SO,,40,4,2,5,0,,31,10,0,2,0
46,2021-04-21,San Jose Sharks,5,2,W,,,40,8,1,3,0,,33,8,0,3,0
47,2021-04-24,Anaheim Ducks,5,1,W,,,31,4,0,3,0,,24,6,0,2,0
48,2021-04-28,Colorado Avalanche,5,2,W,,,26,8,1,4,0,,37,8,0,4,0
49,2021-04-30,Arizona Coyotes,0,3,L,,,25,4,0,2,0,,32,4,0,2,0
50,2021-05-01,Arizona Coyotes,3,2,W,OT,,34,10,1,5,0,,21,12,1,4,0
51,2021-05-03,Minnesota Wild,5,6,L,,,32,8,1,3,0,,32,10,1,2,0
52,2021-05-05,Minnesota Wild,3,2,W,OT,,34,17,1,3,0,,28,17,0,3,0
53,2021-05-07,St. Louis Blues,4,3,W,OT,,35,2,0,3,0,,25,6,0,1,1
54,2021-05-08,St. Louis Blues,4,1,W,,,29,10,1,4,1,,21,12,0,3,0
55,2021-05-10,Colorado Avalanche,1,2,L,,,37,6,0,3,0,,21,8,0,2,0
56,2021-05-12,San Jose Sharks,6,0,W,,,44,2,0,4,0,,19,8,0,1,0
