Games Played,Date,Opponent,Red Wings: Goals For,Red Wings: Goals Against,Win or Loss,Red Wings: Shots on Goal,Red Wings: Penalty Minutes,Opponent: Shots on Goal,Opponent: Penalty Minutes
1,2019-10-05,Nashville Predators,5.0,3.0,W,28.0,4.0,42.0,4
2,2019-10-06,Dallas Stars,4.0,3.0,W,33.0,4.0,22.0,16
3,2019-10-08,Anaheim Ducks,1.0,3.0,L,32.0,6.0,29.0,4
4,2019-10-10,Montreal Canadiens,4.0,2.0,W,34.0,6.0,35.0,4
5,2019-10-12,Toronto Maple Leafs,2.0,5.0,L,27.0,6.0,41.0,2
6,2019-10-15,Vancouver Canucks,1.0,5.0,L,27.0,24.0,32.0,20
7,2019-10-17,Calgary Flames,1.0,5.0,L,28.0,21.0,36.0,6
8,2019-10-18,Edmonton Oilers,1.0,2.0,L,26.0,4.0,37.0,2
9,2019-10-22,Vancouver Canucks,2.0,5.0,L,33.0,12.0,41.0,16
10,2019-10-23,Ottawa Senators,2.0,5.0,L,36.0,4.0,38.0,10
11,2019-10-25,Buffalo Sabres,0.0,2.0,L,41.0,6.0,25.0,6
12,2019-10-27,St. Louis Blues,4.0,5.0,L,33.0,8.0,20.0,6
13,2019-10-29,Edmonton Oilers,3.0,1.0,W,28.0,8.0,32.0,8
14,2019-11-01,Carolina Hurricanes,3.0,7.0,L,32.0,8.0,34.0,12
15,2019-11-02,Florida Panthers,0.0,4.0,L,22.0,4.0,41.0,6
16,2019-11-04,Nashville Predators,1.0,6.0,L,24.0,13.0,26.0,11
17,2019-11-06,New York Rangers,1.0,5.0,L,36.0,6.0,31.0,4
18,2019-11-08,Boston Bruins,4.0,2.0,W,32.0,13.0,28.0,15
19,2019-11-10,Vegas Golden Knights,3.0,2.0,W,19.0,4.0,19.0,4
20,2019-11-12,Anaheim Ducks,4.0,3.0,W,36.0,13.0,27.0,17
21,2019-11-14,Los Angeles Kings,2.0,3.0,L,21.0,6.0,31.0,2
22,2019-11-16,San Jose Sharks,3.0,4.0,L,28.0,6.0,19.0,6
23,2019-11-19,Ottawa Senators,3.0,4.0,L,38.0,10.0,33.0,8
24,2019-11-21,Columbus Blue Jackets,4.0,5.0,L,26.0,10.0,37.0,6
25,2019-11-23,New Jersey Devils,1.0,5.0,L,20.0,15.0,34.0,15
26,2019-11-24,Carolina Hurricanes,0.0,2.0,L,19.0,4.0,36.0,2
27,2019-11-27,Toronto Maple Leafs,0.0,6.0,L,25.0,2.0,54.0,0
28,2019-11-29,Philadelphia Flyers,1.0,6.0,L,33.0,6.0,35.0,6
29,2019-11-30,Washington Capitals,2.0,5.0,L,27.0,6.0,34.0,8
30,2019-12-02,New York Islanders,1.0,4.0,L,31.0,10.0,25.0,12
31,2019-12-07,Pittsburgh Penguins,3.0,5.0,L,28.0,4.0,28.0,6
32,2019-12-10,Winnipeg Jets,1.0,5.0,L,17.0,18.0,30.0,16
33,2019-12-12,Winnipeg Jets,5.0,2.0,W,34.0,2.0,28.0,8
34,2019-12-14,Montreal Canadiens,2.0,1.0,W,20.0,6.0,43.0,12
35,2019-12-15,Los Angeles Kings,2.0,4.0,L,24.0,6.0,32.0,6
36,2019-12-17,Columbus Blue Jackets,3.0,5.0,L,21.0,4.0,39.0,6
37,2019-12-21,Toronto Maple Leafs,1.0,4.0,L,30.0,17.0,23.0,23
38,2019-12-22,Arizona Coyotes,2.0,5.0,L,30.0,0.0,45.0,6
