,,,,,,,,Team,Team,Team,Team,Team,,Oppo,Oppo,Oppo,Oppo,Oppo
GP,Date,Opponent,GF,GA,,,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG
1,2021-01-14,Carolina Hurricanes,0,3,L,,,14,11,0,2,0,,43,9,1,3,0
2,2021-01-16,Carolina Hurricanes,4,2,W,,,21,10,0,2,0,,31,4,1,5,0
3,2021-01-18,Columbus Blue Jackets,2,3,L,,,37,22,0,2,0,,29,24,0,1,0
4,2021-01-19,Columbus Blue Jackets,3,2,W,OT,,27,4,1,1,0,,24,2,0,2,0
5,2021-01-22,Chicago Blackhawks,1,4,L,,,31,10,0,5,0,,28,10,2,5,1
6,2021-01-24,Chicago Blackhawks,2,6,L,,,27,4,2,5,0,,35,10,1,2,0
7,2021-01-26,Dallas Stars,1,2,L,OT,,21,8,0,3,0,,22,6,1,4,0
8,2021-01-28,Dallas Stars,3,7,L,,,23,6,1,7,0,,29,14,1,2,0
9,2021-01-30,Florida Panthers,2,3,L,OT,,27,6,0,4,0,,26,8,2,3,0
10,2021-01-31,Florida Panthers,2,3,L,,,34,10,0,3,0,,30,8,2,4,0
11,2021-02-03,Tampa Bay Lightning,1,5,L,,,16,8,0,4,0,,27,8,0,4,0
12,2021-02-05,Tampa Bay Lightning,1,3,L,,,28,6,0,2,0,,32,4,0,3,0
13,2021-02-07,Florida Panthers,4,1,W,,,39,11,0,0,0,,37,9,0,1,0
14,2021-02-09,Florida Panthers,1,2,L,,,32,2,0,3,0,,22,6,1,1,0
15,2021-02-11,Nashville Predators,2,3,L,,,26,8,0,4,0,,23,8,1,4,0
16,2021-02-13,Nashville Predators,4,2,W,,,30,4,0,4,0,,23,8,0,2,0
17,2021-02-15,Chicago Blackhawks,2,3,L,OT,,29,6,0,2,0,,24,4,0,3,0
18,2021-02-17,Chicago Blackhawks,0,2,L,,,29,8,0,3,0,,26,8,1,3,0
19,2021-02-19,Florida Panthers,2,7,L,,,32,4,0,4,0,,39,8,1,2,0
