Player,Season,Games Played,Goals Against Average,Save %,Wins,Losses
Marc-André Fleury,18-19,61.0,2.51,0.913,35.0,21.0
Malcolm Subban,18-19,21.0,2.93,0.902,8.0,10.0
Marc-André Fleury,19-20,49.0,2.77,0.905,27.0,16.0
Malcolm Subban,19-20,20.0,3.18,0.89,9.0,7.0
Marc-André Fleury,20-21,36.0,1.98,0.928,26.0,10.0
Robin Lehner,20-21,19.0,2.29,0.913,13.0,4.0
Robin Lehner,21-22,44.0,2.83,0.907,23.0,17.0
Laurent Brossoit,21-22,24.0,2.9,0.895,10.0,9.0
Logan Thompson,22-23,37.0,2.65,0.915,21.0,13.0
Adin Hill,22-23,27.0,2.5,0.915,16.0,7.0
