Player,Season,Games Played,Goals Against Average,Save %,Wins,Losses
Jimmy Howard,18-19,55.0,3.07,0.909,23.0,22.0
Jonathan Bernier,18-19,35.0,3.16,0.904,9.0,18.0
Jonathan Bernier,19-20,46.0,2.95,0.907,15.0,22.0
Jimmy Howard,19-20,27.0,4.2,0.882,2.0,23.0
Jonathan Bernier,20-21,24.0,2.99,0.914,9.0,11.0
Thomas Greiss,20-21,34.0,2.7,0.912,8.0,15.0
Alex Nedeljkovic,21-22,59.0,3.31,0.901,20.0,24.0
Thomas Greiss,21-22,31.0,3.66,0.891,10.0,15.0
Ville Husso,22-23,56.0,3.11,0.896,26.0,22.0
Alex Nedeljkovic,22-23,15.0,3.53,0.895,5.0,7.0
